food_id,name,cuisine,category,ingredients,prep_time,difficulty,calories,dietary_tags,flavor_profile,popularity_score
1,Xiaolongbao,Chinese,Breakfast,"['flour', 'pork', 'soup', 'ginger']",30,Easy,312,['dairy-free'],"['savory', 'umami']",1.1061438787354545
2,Spinach Artichoke Dip,American,Appetizer,"['spinach', 'artichokes', 'cream cheese', 'parmesan']",47,Easy,297,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'cheesy']",2.4359175219385136
3,Spicy Shrimp Salad,Thai,Appetizer,"['shrimp', 'lime juice', 'chili', 'coriander']",37,Medium,230,"['dairy-free', 'gluten-free', 'halal']","['savory', 'spicy', 'sour']",3.309408581027048
4,Youtiao,Chinese,Breakfast,"['flour', 'oil', 'salt']",49,Easy,348,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'umami']",1.8380281230859508
5,Rice with Nori,Japanese,Breakfast,"['rice', 'nori', 'sesame seeds']",47,Easy,258,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",4.220183203084858
6,Samgyeopsal (Grilled Pork Belly),Korean,Dinner,"['pork belly', 'lettuce', 'ssamjang']",30,Hard,520,"['dairy-free', 'gluten-free']",['savory'],3.9799559283664263
7,Agedashi Tofu,Japanese,Appetizer,"['tofu', 'dashi broth', 'tempura sauce']",20,Medium,250,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",2.688639867198736
8,Mango Pudding,Chinese,Dessert,"['mango', 'gelatin', 'milk', 'sugar']",44,Hard,340,"['vegetarian', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",1.4462086943835057
9,Bibimbap,Korean,Lunch,"['rice', 'mixed vegetables', 'egg', 'gochujang']",58,Easy,429,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",3.12141468878071
10,Prosciutto e Melone,Italian,Appetizer,"['prosciutto', 'melon']",59,Easy,283,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']",['savory'],4.264093013680354
11,Dal Tadka,Indian,Lunch,"['lentils', 'turmeric', 'cumin', 'garlic', 'tomato']",51,Medium,470,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",1.0841370400282355
12,Spinach Artichoke Dip,American,Appetizer,"['spinach', 'artichokes', 'cream cheese', 'parmesan']",30,Medium,228,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'cheesy']",2.941657996601963
13,Paneer Tikka,Indian,Appetizer,"['paneer', 'yogurt', 'spices', 'bell peppers']",56,Medium,250,"['vegetarian', 'gluten-free', 'halal']","['savory', 'spicy']",1.3936714846078355
14,Kimchi Jjigae (Kimchi Stew),Korean,Dinner,"['kimchi', 'tofu', 'pork', 'scallions']",55,Medium,533,"['dairy-free', 'gluten-free']","['savory', 'spicy', 'fermented']",4.445396419047322
15,Xiaolongbao,Chinese,Breakfast,"['flour', 'pork', 'soup', 'ginger']",47,Hard,327,['dairy-free'],"['savory', 'umami']",2.060812232688608
16,Fish Head Curry,Malaysian,Dinner,"['fish head', 'curry powder', 'coconut milk', 'okra', 'tomato', 'tamarind']",21,Hard,542,"['gluten-free', 'halal']","['savory', 'spicy', 'creamy', 'sour']",2.9071540684357395
17,Paratha,Indian,Breakfast,"['wheat flour', 'ghee', 'potato', 'spices']",35,Easy,268,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'spicy']",1.9848613911544994
18,Antipasto Platter,Italian,Appetizer,"['cured meats', 'cheeses', 'olives', 'artichokes']",54,Medium,275,"['vegetarian', 'gluten-free', 'halal']","['savory', 'cheesy']",2.199988319195049
19,Khanom Krok,Thai,Breakfast,"['coconut milk', 'rice flour', 'palm sugar', 'corn']",40,Easy,322,"['vegetarian', 'halal']","['savory', 'creamy', 'sweet']",4.523456694745758
20,BBQ Ribs,American,Dinner,"['pork ribs', 'bbq sauce', 'coleslaw']",22,Hard,563,"['dairy-free', 'gluten-free']",['savory'],2.0578636859485107
21,Spicy Cucumber Salad,Chinese,Appetizer,"['cucumber', 'garlic', 'vinegar', 'chili oil']",43,Easy,279,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'spicy', 'sour']",2.6943030902549054
22,Tamagoyaki,Japanese,Breakfast,"['eggs', 'mirin', 'soy sauce', 'sugar']",27,Medium,324,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",4.615714286239573
23,Lasagna Bolognese,Italian,Dinner,"['pasta sheets', 'bolognese sauce', 'bechamel', 'parmesan']",41,Easy,560,['dairy-free'],['savory'],4.536538805804035
24,Kimchi,Korean,Appetizer,"['napa cabbage', 'radish', 'gochugaru', 'garlic']",20,Medium,256,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",3.679628517152787
25,Grilled Salmon,American,Dinner,"['salmon', 'asparagus', 'lemon', 'herbs']",52,Medium,534,"['dairy-free', 'gluten-free', 'halal']",['savory'],2.2207634693544023
26,Philly Cheesesteak,American,Lunch,"['beef', 'cheese', 'onions', 'hoagie roll']",29,Easy,476,"['gluten-free', 'halal']","['savory', 'cheesy']",4.9245987487930405
27,Jok,Thai,Breakfast,"['rice porridge', 'pork', 'ginger', 'soy sauce']",56,Medium,285,"['dairy-free', 'gluten-free']",['savory'],4.93694339726636
28,Sesame Balls,Chinese,Dessert,"['glutinous rice flour', 'red bean paste', 'sesame seeds']",57,Hard,389,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'umami']",3.653549905062177
29,Whole Steamed Fish,Chinese,Dinner,"['fish', 'ginger', 'soy sauce', 'scallions']",51,Medium,545,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",1.6961093728397758
30,Mochi,Japanese,Dessert,"['glutinous rice', 'sweet filling', 'cornstarch']",20,Medium,377,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",4.604723303313017
31,Masala Dosa,Indian,Breakfast,"['rice', 'lentils', 'potato', 'turmeric', 'curry leaves']",36,Easy,254,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",3.4450958922427204
32,Sesame Balls,Chinese,Dessert,"['glutinous rice flour', 'red bean paste', 'sesame seeds']",41,Medium,372,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'umami']",1.4263491862541557
33,Bulgogi,Korean,Lunch,"['beef', 'soy sauce', 'sugar', 'sesame oil']",33,Hard,457,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",3.6703109303454124
34,Thai Coconut Ice Cream,Thai,Dessert,"['coconut milk', 'palm sugar', 'pandan']",45,Hard,303,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'sweet']",3.8541794504442257
35,Steak Dinner,American,Dinner,"['beef steak', 'potato', 'vegetables', 'butter']",39,Hard,562,"['gluten-free', 'halal']",['savory'],3.1704445620156614
36,Banchan (Side Dishes),Korean,Breakfast,"['various vegetables', 'fermented']",39,Easy,265,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']",['savory'],3.152882270440926
37,Cheesecake,American,Dessert,"['cream cheese', 'graham crackers', 'sugar']",46,Hard,356,['gluten-free'],"['savory', 'creamy', 'cheesy', 'sweet']",4.627715450347074
38,Cappuccino e Brioche,Italian,Breakfast,"['coffee', 'milk', 'brioche', 'sugar']",41,Easy,285,"['vegetarian', 'gluten-free', 'halal']","['savory', 'sweet']",4.3276971406210905
39,Miso Soup,Japanese,Breakfast,"['miso paste', 'tofu', 'wakame', 'scallions']",53,Medium,320,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",1.7974427294501316
40,Prosciutto e Melone,Italian,Appetizer,"['prosciutto', 'melon']",48,Medium,233,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']",['savory'],3.9917026078211433
41,Fried Rice,Chinese,Lunch,"['rice', 'eggs', 'scallions', 'soy sauce']",21,Medium,447,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",2.206330741950668
42,Cold Noodles,Chinese,Appetizer,"['noodles', 'cucumber', 'peanut sauce', 'sesame oil']",35,Easy,241,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",2.7340936053033937
43,Mango Sticky Rice,Thai,Dessert,"['mango', 'sticky rice', 'coconut milk', 'palm sugar']",41,Medium,375,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'sweet']",1.975453756763824
44,Popiah,Malaysian,Appetizer,"['spring roll skin', 'vegetables', 'shrimp', 'peanut sauce']",42,Medium,256,"['dairy-free', 'gluten-free', 'halal']",['savory'],2.1050743030247396
45,Antipasto Platter,Italian,Appetizer,"['cured meats', 'cheeses', 'olives', 'artichokes']",35,Medium,208,"['vegetarian', 'gluten-free', 'halal']","['savory', 'cheesy']",2.6176045147117124
46,Grilled Salmon,American,Dinner,"['salmon', 'asparagus', 'lemon', 'herbs']",46,Medium,578,"['dairy-free', 'gluten-free', 'halal']",['savory'],3.971524254556416
47,Dal Tadka,Indian,Lunch,"['lentils', 'turmeric', 'cumin', 'garlic', 'tomato']",36,Medium,452,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",3.8320739428441253
48,Vegetable Korma,Indian,Dinner,"['mixed vegetables', 'coconut', 'cashews', 'spices']",53,Hard,546,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy', 'creamy']",2.877587779722041
49,Fish Head Curry,Malaysian,Dinner,"['fish head', 'curry powder', 'coconut milk', 'okra', 'tomato', 'tamarind']",22,Medium,570,"['gluten-free', 'halal']","['savory', 'spicy', 'creamy', 'sour']",4.24456830510019
50,Miso Soup,Japanese,Breakfast,"['miso paste', 'tofu', 'wakame', 'scallions']",21,Medium,300,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",3.96035722193818
51,Philly Cheesesteak,American,Lunch,"['beef', 'cheese', 'onions', 'hoagie roll']",50,Easy,407,"['gluten-free', 'halal']","['savory', 'cheesy']",1.1305594215236972
52,Sukiyaki,Japanese,Dinner,"['beef', 'tofu', 'vegetables', 'sukiyaki sauce']",29,Hard,526,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",4.170514264929647
53,Dorayaki,Japanese,Dessert,"['pancake', 'red bean paste', 'honey']",39,Easy,339,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",2.2892863334332
54,Miso Soup,Japanese,Breakfast,"['miso paste', 'tofu', 'wakame', 'scallions']",55,Medium,349,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",2.8820032930065342
55,Sambal Kangkung,Malaysian,Dinner,"['kangkung', 'belacan', 'chili', 'onion', 'tamarind']",20,Medium,567,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'spicy', 'sour']",2.981876083857351
56,Gyeran Bbang (Egg Bread),Korean,Appetizer,"['bread dough', 'egg', 'sugar']",53,Medium,294,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'sweet']",3.630641545932516
57,Kuih Lapis,Malaysian,Dessert,"['rice flour', 'coconut milk', 'pandan', 'sugar']",54,Medium,329,"['vegetarian', 'halal']","['savory', 'creamy', 'sweet']",3.793000116488689
58,Youtiao,Chinese,Breakfast,"['flour', 'oil', 'salt']",44,Easy,330,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'umami']",3.8664133039671644
59,Matcha Ice Cream,Japanese,Dessert,"['matcha powder', 'cream', 'sugar']",32,Medium,380,"['vegetarian', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",3.030950703238626
60,Seafood Risotto,Italian,Dinner,"['arborio rice', 'mixed seafood', 'white wine', 'saffron']",27,Hard,500,"['dairy-free', 'gluten-free', 'halal']",['savory'],4.478406732936274
61,Stuffed Mushrooms,American,Appetizer,"['mushrooms', 'cream cheese', 'herbs']",37,Easy,286,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'cheesy']",1.4014584086594093
62,Roti Canai,Malaysian,Breakfast,"['flour', 'ghee', 'curry', 'dhal']",54,Medium,275,"['vegetarian', 'vegan', 'dairy-free', 'halal']",['savory'],2.5200375900906202
63,Tub Tim Grob,Thai,Dessert,"['water chestnuts', 'coconut milk', 'tapioca', 'jackfruit']",46,Easy,304,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'sweet']",2.774714206646823
64,Rice with Nori,Japanese,Breakfast,"['rice', 'nori', 'sesame seeds']",52,Easy,310,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",1.6799345962723895
65,Scallion Pancakes,Chinese,Appetizer,"['flour', 'scallions', 'oil']",60,Medium,272,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'umami']",2.861013022101206
66,Seaweed Salad,Japanese,Appetizer,"['seaweed', 'sesame oil', 'vinegar', 'cucumber']",43,Easy,278,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",2.4358366303089833
67,Sashimi,Japanese,Dinner,"['fresh fish', 'wasabi', 'soy sauce', 'pickled ginger']",50,Hard,511,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'spicy']",3.9806886165358804
68,Bento Box,Japanese,Lunch,"['rice', 'fish', 'vegetables', 'pickles']",59,Medium,407,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",3.318295221473611
69,Idli Sambar,Indian,Breakfast,"['rice', 'lentils', 'vegetables', 'tamarind']",46,Medium,302,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy', 'sour']",2.0278803382530493
70,Fish Head Curry,Malaysian,Dinner,"['fish head', 'curry powder', 'coconut milk', 'okra', 'tomato', 'tamarind']",57,Medium,551,"['gluten-free', 'halal']","['savory', 'spicy', 'creamy', 'sour']",3.6913135274950144
71,Agedashi Tofu,Japanese,Appetizer,"['tofu', 'dashi broth', 'tempura sauce']",58,Easy,202,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",4.637550553711568
72,Mochi,Japanese,Dessert,"['glutinous rice', 'sweet filling', 'cornstarch']",26,Medium,363,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",3.681944875400685
73,Kimchi,Korean,Appetizer,"['napa cabbage', 'radish', 'gochugaru', 'garlic']",55,Easy,250,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",4.923710873296269
74,Thai Fish Cakes,Thai,Appetizer,"['fish', 'red curry paste', 'green beans', 'cucumber relish']",49,Easy,288,"['dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",4.147912399905263
75,Bacon and Eggs,American,Breakfast,"['bacon', 'eggs', 'toast', 'butter']",40,Medium,300,['gluten-free'],['savory'],4.194055294230495
76,Congee,Chinese,Breakfast,"['rice', 'water', 'ginger', 'scallions']",27,Easy,306,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",3.982661100135983
77,ABC (Air Batu Campur),Malaysian,Dessert,"['shaved ice', 'red beans', 'corn', 'jelly', 'condensed milk']",58,Hard,323,"['vegetarian', 'gluten-free', 'halal']",['savory'],3.573362736821955
78,Biscotti,Italian,Breakfast,"['flour', 'almonds', 'sugar', 'eggs']",57,Medium,267,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'sweet']",3.532306897204062
79,Thai Coconut Ice Cream,Thai,Dessert,"['coconut milk', 'palm sugar', 'pandan']",45,Hard,343,"['vegetarian', 'gluten-free', 'halal']","['savory', 'creamy', 'sweet']",1.8600922653099876
80,Char Kway Teow,Malaysian,Lunch,"['rice noodles', 'soy sauce', 'prawns', 'lap cheong', 'bean sprouts', 'chili']",46,Hard,431,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'spicy']",1.3729204068147096
81,Whole Steamed Fish,Chinese,Dinner,"['fish', 'ginger', 'soy sauce', 'scallions']",43,Hard,565,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",4.663374683888575
82,Chicken Parmigiana,Italian,Dinner,"['chicken', 'parmesan', 'tomato sauce', 'mozzarella']",20,Medium,553,"['dairy-free', 'gluten-free', 'halal']",['savory'],4.2288854846093775
83,Prosciutto e Melone,Italian,Appetizer,"['prosciutto', 'melon']",58,Medium,242,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']",['savory'],4.887241275032077
84,Cold Noodles,Chinese,Appetizer,"['noodles', 'cucumber', 'peanut sauce', 'sesame oil']",55,Easy,209,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",4.533368738073373
85,Palak Paneer,Indian,Lunch,"['spinach', 'paneer', 'cream', 'spices']",47,Easy,466,"['vegetarian', 'gluten-free', 'halal']","['savory', 'spicy', 'creamy']",1.4435590888037222
86,Prawn Crackers,Malaysian,Appetizer,"['prawns', 'tapioca flour', 'chili sauce']",39,Medium,248,"['dairy-free', 'halal']",['savory'],1.0309196262772478
87,Bulgogi,Korean,Lunch,"['beef', 'soy sauce', 'sugar', 'sesame oil']",49,Medium,439,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",1.3114504475030304
88,Crispy Spring Rolls,Thai,Appetizer,"['spring roll wrappers', 'vegetables', 'sweet chili sauce']",55,Easy,276,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",3.7584401643207594
89,Thai Omelet,Thai,Breakfast,"['eggs', 'fish sauce', 'chili', 'rice']",59,Easy,337,"['dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",1.6725308321827463
90,Scallion Pancakes,Chinese,Appetizer,"['flour', 'scallions', 'oil']",42,Easy,279,"['vegetarian', 'vegan', 'dairy-free', 'halal']","['savory', 'umami']",3.6220360420749564
91,Kulfi,Indian,Dessert,"['milk', 'sugar', 'cardamom', 'pistachios']",37,Medium,361,"['vegetarian', 'gluten-free', 'halal']","['savory', 'spicy', 'sweet']",2.4077688904803063
92,Hot Pot,Chinese,Dinner,"['broth', 'mixed vegetables', 'meat', 'tofu', 'noodles']",40,Hard,588,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",4.1672711890614345
93,Cannoli,Italian,Dessert,"['pastry shells', 'ricotta', 'chocolate chips', 'sugar']",49,Medium,323,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'sweet']",1.3373165280982553
94,Masala Dosa,Indian,Breakfast,"['rice', 'lentils', 'potato', 'turmeric', 'curry leaves']",34,Medium,300,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",3.5892214278772276
95,Hot Pot,Chinese,Dinner,"['broth', 'mixed vegetables', 'meat', 'tofu', 'noodles']",43,Medium,594,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'umami']",2.2409269502072484
96,Bulgogi,Korean,Lunch,"['beef', 'soy sauce', 'sugar', 'sesame oil']",51,Easy,492,"['dairy-free', 'gluten-free', 'halal']","['savory', 'umami', 'sweet']",1.7210516915073786
97,Steak Dinner,American,Dinner,"['beef steak', 'potato', 'vegetables', 'butter']",47,Hard,517,"['gluten-free', 'halal']",['savory'],3.6477169494856705
98,Aloo Tikki,Indian,Appetizer,"['potato', 'peas', 'spices']",25,Medium,298,"['vegetarian', 'vegan', 'dairy-free', 'gluten-free', 'halal']","['savory', 'spicy']",2.139711730253433
99,Curry Laksa,Malaysian,Lunch,"['coconut milk', 'curry paste', 'rice noodles', 'prawns', 'tofu puffs', 'bean sprouts']",37,Medium,405,"['gluten-free', 'halal']","['savory', 'spicy', 'creamy']",1.5535941384137248
